OBJECTID,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,REP_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3,Shape_Length,Shape_Area
1,1,1,1,Hollis Road,Hollis Road,Stewardship Area,Stewardship Area,National,III,Not Applicable,0,0,0.037498077,Not Applicable,0,Designated,1988,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1,NZ-WKO,NZL,NZL,0.009107572,0.00000381
2,2,2,1,Wairakau,Wairakau,Scenic Reserve,Scenic Reserve,National,III,Not Applicable,0,0,1.314631523,Not Applicable,0,Designated,1936,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,2,NZ-WKO,NZL,NZL,0.053957862,0.000134001
3,3,3,1,Waihou Forest,Waihou Forest,Stewardship Area,Stewardship Area,National,III,Not Applicable,0,0,0.273504606,Not Applicable,0,Designated,1981,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,3,NZ-WKO;NZ-BOP,NZL,NZL,0.106689334,0.000115711
4,4,4,1,Wairere Falls,Wairere Falls,Scenic Reserve,Scenic Reserve,National,III,Not Applicable,0,0,0.90794542,Not Applicable,0,Designated,1908,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-WKO,NZL,NZL,0.081848805,0.0000927
5,5,5,1,Upland Rd,Upland Rd,Stewardship Area,Stewardship Area,National,III,Not Applicable,0,0,0.026747315,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-BOP,NZL,NZL,0.015824009,0.00000273
6,6,6,1,Waitioka Stream,Waitioka Stream,Stewardship Area,Stewardship Area,National,III,Not Applicable,0,0,1.060166749,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-BOP,NZL,NZL,0.049592344,0.000108228
7,7,7,1,McNichol Stream,McNichol Stream,Stewardship Area,Stewardship Area,National,III,Not Applicable,0,0,0.441766114,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-WKO,NZL,NZL,0.034048091,0.000045
8,8,8,1,Demeter Rd,Demeter Rd,Stewardship Area,Stewardship Area,National,III,Not Applicable,0,0,0.232399062,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-BOP,NZL,NZL,0.026663341,0.0000238
9,9,9,1,Miller Bush,Miller Bush,Scenic Reserve,Scenic Reserve,National,III,Not Applicable,0,0,0.395099584,Not Applicable,0,Designated,1971,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-BOP,NZL,NZL,0.060949804,0.0000406
10,10,10,1,Tongariro,Tongariro,Stewardship Area,Stewardship Area,National,III,Not Applicable,0,0,224.9995513,Not Applicable,0,Designated,1987,Federal or national ministry or agency,Not Reported,Department of Conservation,Not Reported,State Verified,1773,NZ-WKO;NZ-MWT,NZL,NZL,3.145949582,0.02340562
